question,answer
What is a mutual fund?,"A mutual fund pools money from many investors to invest in stocks, bonds, or other securities, managed by a professional fund manager."
What is an index fund?,"An index fund is a mutual fund that tracks a market index such as the Nifty 50 or Sensex, aiming to replicate its returns."
What is NAV?,"NAV, or Net Asset Value, is the price per unit of a mutual fund, calculated as the fund’s total assets minus liabilities, divided by total units."
What is SIP?,"A Systematic Investment Plan (SIP) allows you to invest a fixed amount regularly in a mutual fund scheme, averaging cost over time."
What is CAGR?,"CAGR (Compounded Annual Growth Rate) shows the annual growth rate of an investment over a specified period, assuming compounding."
What is risk in mutual funds?,Risk refers to the volatility or uncertainty of returns; higher risk funds may offer higher potential returns but also higher potential losses.
What is a balanced fund?,A balanced fund invests in a mix of equity and debt to balance risk and return.
How do I choose a fund?,"Look at your risk profile, investment horizon, fund performance (CAGR, Sharpe ratio), and expense ratio before choosing."
What is the Sharpe ratio?,The Sharpe ratio measures risk-adjusted returns; higher values indicate better returns per unit of risk.
Can mutual funds guarantee returns?,"No, mutual funds are subject to market risks and do not guarantee returns."
